Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Fedje;SN52535;20.04.2013;15
Fedje;SN52535;21.04.2013;18,6
Fedje;SN52535;22.04.2013;21,1
Fedje;SN52535;23.04.2013;15,1
Fedje;SN52535;24.04.2013;14,1
Fedje;SN52535;25.04.2013;13,7
Fedje;SN52535;26.04.2013;10
Fedje;SN52535;27.04.2013;9,4
Fedje;SN52535;28.04.2013;20,1
Fedje;SN52535;29.04.2013;14,9
Fedje;SN52535;30.04.2013;14,4
Fedje;SN52535;01.05.2013;21,8
Fedje;SN52535;02.05.2013;15,7
Fedje;SN52535;03.05.2013;19,1
Fedje;SN52535;04.05.2013;12,2
Fedje;SN52535;05.05.2013;14,5
Fedje;SN52535;06.05.2013;14,5
Fedje;SN52535;07.05.2013;10,7
Fedje;SN52535;08.05.2013;7,9
Fedje;SN52535;09.05.2013;8,9
Fedje;SN52535;10.05.2013;10,3
Fedje;SN52535;11.05.2013;12,1
Fedje;SN52535;12.05.2013;11,1
Fedje;SN52535;13.05.2013;17
Fedje;SN52535;14.05.2013;15,6
Fedje;SN52535;15.05.2013;14,1
Fedje;SN52535;16.05.2013;17,6
Fedje;SN52535;17.05.2013;7,6
Fedje;SN52535;18.05.2013;6,6
Fedje;SN52535;19.05.2013;7,1
Fedje;SN52535;20.05.2013;6,1
Fedje;SN52535;21.05.2013;9,1
Fedje;SN52535;22.05.2013;10
Fedje;SN52535;23.05.2013;12,5
Fedje;SN52535;24.05.2013;11
Fedje;SN52535;25.05.2013;9,9
Fedje;SN52535;26.05.2013;10,7
Fedje;SN52535;27.05.2013;9,5
Fedje;SN52535;28.05.2013;8,6
Fedje;SN52535;29.05.2013;10
Fedje;SN52535;30.05.2013;8,3
Fedje;SN52535;31.05.2013;8,7
Fedje;SN52535;01.06.2013;10,7
Fedje;SN52535;02.06.2013;11,2
Fedje;SN52535;03.06.2013;7,1
Fedje;SN52535;04.06.2013;14,8
Fedje;SN52535;05.06.2013;11,9
Fedje;SN52535;06.06.2013;9,9
Fedje;SN52535;07.06.2013;7,9
Fedje;SN52535;08.06.2013;8,1
Fedje;SN52535;09.06.2013;13,4
Fedje;SN52535;10.06.2013;12,8
Fedje;SN52535;11.06.2013;8,1
Fedje;SN52535;12.06.2013;6,7
Fedje;SN52535;13.06.2013;9,6
Fedje;SN52535;14.06.2013;11,2
Fedje;SN52535;15.06.2013;10
Fedje;SN52535;16.06.2013;11,6
Fedje;SN52535;17.06.2013;9,2
Fedje;SN52535;18.06.2013;6,8
Fedje;SN52535;19.06.2013;7,4
Fedje;SN52535;20.06.2013;6,8
Fedje;SN52535;21.06.2013;7,8
Fedje;SN52535;22.06.2013;8,8
Fedje;SN52535;23.06.2013;5,8
Fedje;SN52535;24.06.2013;5,4
Fedje;SN52535;25.06.2013;8,9
Fedje;SN52535;26.06.2013;12,2
Fedje;SN52535;27.06.2013;11,7
Fedje;SN52535;28.06.2013;11,9
Fedje;SN52535;29.06.2013;16,9
Fedje;SN52535;30.06.2013;8,4
Fedje;SN52535;01.07.2013;10
Fedje;SN52535;02.07.2013;9,2
Fedje;SN52535;03.07.2013;13,3
Fedje;SN52535;04.07.2013;14,5
Fedje;SN52535;05.07.2013;13,1
Fedje;SN52535;06.07.2013;14,6
Fedje;SN52535;07.07.2013;13,9
Fedje;SN52535;08.07.2013;5,9
Fedje;SN52535;09.07.2013;12
Fedje;SN52535;10.07.2013;12,3
Fedje;SN52535;11.07.2013;9,5
Fedje;SN52535;12.07.2013;8,2
Fedje;SN52535;13.07.2013;11,5
Fedje;SN52535;14.07.2013;10,9
Fedje;SN52535;15.07.2013;13,3
Fedje;SN52535;16.07.2013;7,6
Fedje;SN52535;17.07.2013;8,4
Fedje;SN52535;18.07.2013;9,8
Fedje;SN52535;19.07.2013;6,8
Fedje;SN52535;20.07.2013;8,7
Fedje;SN52535;21.07.2013;9,8
Fedje;SN52535;22.07.2013;10,4
Fedje;SN52535;23.07.2013;5,2
Fedje;SN52535;24.07.2013;6
Fedje;SN52535;25.07.2013;4,8
Fedje;SN52535;26.07.2013;4,9
Fedje;SN52535;27.07.2013;6,2
Fedje;SN52535;28.07.2013;7,5
Fedje;SN52535;29.07.2013;22
Fedje;SN52535;30.07.2013;11,7
Fedje;SN52535;31.07.2013;9
Fedje;SN52535;01.08.2013;8,6
Fedje;SN52535;08.08.2013;10,8
Fedje;SN52535;09.08.2013;9,9
Fedje;SN52535;10.08.2013;4,8
Fedje;SN52535;11.08.2013;11
Fedje;SN52535;12.08.2013;7,5
Fedje;SN52535;13.08.2013;12,4
Fedje;SN52535;14.08.2013;11,1
Fedje;SN52535;15.08.2013;9,7
Fedje;SN52535;16.08.2013;12,1
Fedje;SN52535;17.08.2013;16,5
Fedje;SN52535;18.08.2013;17,5
Fedje;SN52535;19.08.2013;15,8
Fedje;SN52535;20.08.2013;12,8
Fedje;SN52535;21.08.2013;10,5
Fedje;SN52535;22.08.2013;6,7
Fedje;SN52535;23.08.2013;8,4
Fedje;SN52535;24.08.2013;8,1
Fedje;SN52535;25.08.2013;7
Fedje;SN52535;26.08.2013;10
Fedje;SN52535;27.08.2013;12,4
Fedje;SN52535;28.08.2013;12,9
Fedje;SN52535;29.08.2013;7,5
Fedje;SN52535;30.08.2013;10,4
Fedje;SN52535;31.08.2013;15,6
Fedje;SN52535;01.09.2013;13,8
Fedje;SN52535;02.09.2013;7,8
Fedje;SN52535;03.09.2013;9,4
Fedje;SN52535;04.09.2013;13,7
Fedje;SN52535;05.09.2013;16,7
Fedje;SN52535;06.09.2013;14,1
Fedje;SN52535;07.09.2013;13,9
Fedje;SN52535;08.09.2013;7
Fedje;SN52535;09.09.2013;10,8
Fedje;SN52535;10.09.2013;11,6
Fedje;SN52535;11.09.2013;9
Fedje;SN52535;12.09.2013;10,8
Fedje;SN52535;13.09.2013;14,2
Fedje;SN52535;14.09.2013;10,3
Fedje;SN52535;15.09.2013;20,3
Fedje;SN52535;16.09.2013;22
Fedje;SN52535;17.09.2013;18,5
Fedje;SN52535;18.09.2013;15,5
Fedje;SN52535;19.09.2013;14,9
Fedje;SN52535;20.09.2013;8,8
Fedje;SN52535;21.09.2013;15,6
Fedje;SN52535;22.09.2013;10,1
Fedje;SN52535;23.09.2013;6,6
Fedje;SN52535;24.09.2013;7,8
Fedje;SN52535;25.09.2013;5,8
Fedje;SN52535;26.09.2013;8
Fedje;SN52535;27.09.2013;5,7
Fedje;SN52535;28.09.2013;12,4
Fedje;SN52535;29.09.2013;13,1
Fedje;SN52535;30.09.2013;5,8
Fedje;SN52535;01.10.2013;9,7
Fedje;SN52535;02.10.2013;14,7
Fedje;SN52535;03.10.2013;16,3
Fedje;SN52535;04.10.2013;15,8
Fedje;SN52535;05.10.2013;12,4
Fedje;SN52535;06.10.2013;16,2
Fedje;SN52535;07.10.2013;12,7
Fedje;SN52535;08.10.2013;13,4
Fedje;SN52535;09.10.2013;11
Fedje;SN52535;10.10.2013;16,4
Fedje;SN52535;11.10.2013;10,4
Fedje;SN52535;12.10.2013;8,7
Fedje;SN52535;13.10.2013;6,9
Fedje;SN52535;14.10.2013;5,6
Fedje;SN52535;15.10.2013;4,9
Fedje;SN52535;16.10.2013;5,9
Fedje;SN52535;17.10.2013;13,8
Fedje;SN52535;18.10.2013;10,3
Fedje;SN52535;19.10.2013;5,3
Fedje;SN52535;20.10.2013;7,3
Fedje;SN52535;21.10.2013;9,1
Fedje;SN52535;22.10.2013;16
Fedje;SN52535;23.10.2013;16,3
Fedje;SN52535;24.10.2013;17
Fedje;SN52535;26.10.2013;16,4
Fedje;SN52535;28.10.2013;14,7
Fedje;SN52535;29.10.2013;8,4
Fedje;SN52535;30.10.2013;9,5
Fedje;SN52535;31.10.2013;17,9
Fedje;SN52535;01.11.2013;19,3
Fedje;SN52535;02.11.2013;16,9
Fedje;SN52535;03.11.2013;12,1
Fedje;SN52535;04.11.2013;4,8
Fedje;SN52535;05.11.2013;8,8
Fedje;SN52535;06.11.2013;12,7
Fedje;SN52535;07.11.2013;15
Fedje;SN52535;08.11.2013;15,9
Fedje;SN52535;09.11.2013;16,7
