date,price,biomass,feed,removed,sea_temp,wind
2017-05-11,71.32691437994082,634467980.0798224,102459130.68662746,89761949.56699157,8.114501363336222,9.266666666666667
2017-05-12,71.63290739610713,634373092.3513744,103090797.498835,89660420.70747799,8.206380381753926,8.516666666666667
2017-05-13,71.91836939118024,634304109.889892,103731775.89123264,89544822.30030279,8.30203820784714,9.8
2017-05-14,72.19387528564843,634262675.9924089,104383646.52052498,89416412.90019657,8.402284838200586,10.158333333333333
2017-05-15,72.47,634250433.9559588,105047990.04341656,89276451.06188999,8.507930269398981,8.908333333333333
2017-05-16,72.74816832854768,634269027.0775754,105726387.11661199,89126195.34011368,8.619038367369948,10.825000000000001
2017-05-17,72.99320456090204,634320098.6542925,106420418.39681585,88966904.28959824,8.73268847541271,12.674999999999999
2017-05-18,73.1607828604981,634405291.9831436,107131664.54073273,88799836.46507433,8.845213806169408,7.391666666666667
2017-05-19,73.20657739077092,634526250.3611623,107861706.2050672,88626250.42127256,8.952947572282168,9.183333333333332
2017-05-20,73.08626231515548,634684617.0853826,108612124.04652382,88447404.71292356,9.052222986393126,11.616666666666667
2017-05-21,72.75551179708683,634882035.4528378,109384498.7218072,88264557.89475794,9.139373261144414,10.525
2017-05-22,72.17,635120148.7605621,110180410.88762191,88078968.52150637,9.210731609178165,8.65
2017-05-23,71.31107242454162,635400600.3055888,111001441.20067254,87891895.14789943,9.26427091123591,7.491666666666666
2017-05-24,70.2627599202046,635725033.3849517,111849170.31766365,87704596.32866779,9.30452272045678,8.458333333333334
2017-05-25,69.13476467369355,636095091.2956845,112725178.89529985,87518330.61854205,9.337658258079307,10.816666666666668
2017-05-26,68.03678887171301,636512417.3348209,113631047.59028569,87334356.57225284,9.36984874534202,9.091666666666667
2017-05-27,67.07853470096755,636978654.7993944,114568357.05932575,87153932.7445308,9.407265403483448,9.366666666666667
2017-05-28,66.36970434816168,637495446.986439,115538687.95912465,86978317.69010656,9.456079453742126,11.775
2017-05-29,66.02,638064437.1929879,116543620.94638695,86808769.96371071,9.522462117356579,10.116666666666667
2017-05-30,66.10141952430632,638687268.7160754,117584736.67781721,86646548.12007393,9.6108603717252,10.5
2017-05-31,66.53514351338158,639365584.8527349,118663615.81012003,86492910.71392682,9.718824218885814,12.416666666666666
2017-06-01,67.20464824064602,640101028.9,119781839.0,86349116.3,9.842179417036112,11.466666666666667
2017-06-02,67.99340997951987,640894651.3318735,120940436.4310978,86216355.1786564,9.976751724373777,9.508333333333333
2017-06-03,68.78490500342333,641745131.3302342,122138236.39479873,86095544.632788,10.118366899096495,9.908333333333333
2017-06-04,69.46260958577663,642650555.2539296,123373516.70942405,85987533.6909191,10.262850699401957,7.824999999999999
2017-06-05,69.91,643609009.461808,124644555.19329518,85893171.38157396,10.406028883487847,11.391666666666666
2017-06-06,70.04281216044886,644618580.3127165,125949629.6647335,85813306.73327692,10.544447637591897,9.783333333333333
2017-06-07,69.90582054521946,645677354.1655033,127287017.9420603,85748788.7745522,10.677534860112015,11.583333333333334
2017-06-08,69.57605927334329,646783417.3790159,128654997.84359702,85700466.53392412,10.805438877486157,13.858333333333334
2017-06-09,69.13056246385182,647934856.3121023,130051847.18766499,85669189.03991695,10.928308016152274,10.083333333333334
2017-06-10,68.64636423577645,649129757.3236101,131475843.79258555,85655805.32105498,11.04629060254832,9.15
2017-06-11,68.2004987081487,650366206.7723871,132925265.4766801,85661164.40586251,11.159534963112248,9.983333333333334
2017-06-12,67.87,651642291.0172809,134398390.05826995,85686115.32286377,11.268189424282014,10.074305555555556
2017-06-13,67.71354174643469,652956096.4171395,135893495.3556765,85731507.10058308,11.371886431546498,8.931944444444445
2017-06-14,67.71635564684841,654305709.3308105,137408859.1872211,85798188.76754473,11.4681949065983,8.13125
2017-06-15,67.84531291670964,655689216.1171418,138942759.37122515,85887009.352273,11.554167890180945,8.76388888888889
2017-06-16,68.06728477148692,657104703.134981,140493473.72600994,85998817.88329215,11.626858423037962,9.204861111111112
2017-06-17,68.34914242664875,658550256.7431761,142059280.06989685,86134463.3891265,11.683319545912877,10.579166666666667
2017-06-18,68.65775709766359,660023963.3005744,143638456.22120726,86294794.8983003,11.720604299549217,13.161805555555555
2017-06-19,68.96,661523909.1660242,145229279.99826252,86480661.43933786,11.73576572469051,13.411111111111111
2017-06-20,69.2263736234917,663048180.6983728,146830029.21938404,86692912.04076344,11.727715966832754,13.477083333333333
2017-06-21,69.44190555543356,664594864.2564683,148438981.7028931,86932395.73110133,11.702803590481851,11.376388888888888
2017-06-22,69.59525465748574,666162046.1991582,150054415.26711112,87199961.53887583,11.669236264896176,9.49236111111111
2017-06-23,69.67507979130835,667747812.8852904,151674607.73035944,87496458.49261123,11.635221659334098,9.366666666666667
2017-06-24,69.6700398185615,669350250.6737125,153297836.91095936,87822735.62083177,11.608967443053992,12.383333333333333
2017-06-25,69.56879360090534,670967445.9232726,154922380.62723237,88179641.95206176,11.598681285314232,11.666666666666666
2017-06-26,69.36,672597484.992818,156546516.69749975,88568026.51482548,11.61257085537319,14.341666666666667
2017-06-27,69.03749437184338,674238454.2411969,158168522.94008288,88988738.33764723,11.65638925985902,11.041666666666666
2017-06-28,68.61581804978464,675888440.0272566,159786677.1733031,89442626.44905126,11.72607135487899,9.558333333333332
2017-06-29,68.1146888615106,677545528.7098453,161399257.21548176,89930539.87756187,11.815097433910145,12.225
2017-06-30,67.55382463470822,679207806.6478105,163004540.88494033,90453327.65170337,11.916947790429528,11.924999999999999
2017-07-01,66.9529431970644,680873360.2,164600806.0,91011838.8,12.025102717914189,9.708333333333334
